Gene1,Gene2,Confidence Score,Origin
AAEL001733,AAEL013386,0.987,yeast/fly
AAEL008641,AAEL001041,0.987,yeast/worm
AAEL013065,AAEL003112,0.986,fly
AAEL001562,AAEL010809,0.986,fly
AAEL009515,AAEL003807,0.986,fly
AAEL014046,AAEL003019,0.986,fly
AAEL009910,AAEL013256,0.986,fly
AAEL007650,AAEL010063,0.986,yeast
AAEL003180,AAEL001103,0.986,yeast/fly
AAEL012122,AAEL010048,0.986,yeast/worm
AAEL002092,AAEL011250,0.985,fly
AAEL005455,AAEL003537,0.985,fly
AAEL010019,AAEL008763,0.985,fly
AAEL014850,AAEL008763,0.985,fly
AAEL012658,AAEL006897,0.985,fly
AAEL010744,AAEL002975,0.985,fly
AAEL009731,AAEL005573,0.985,fly
AAEL002284,AAEL001260,0.985,fly
AAEL009442,AAEL003505,0.985,fly
AAEL011112,AAEL011112,0.985,yeast
AAEL011745,AAEL010013,0.985,yeast
AAEL010821,AAEL005027,0.985,yeast/fly
AAEL000175,AAEL010843,0.985,yeast/fly
AAEL010143,AAEL000454,0.985,yeast/worm
AAEL012658,AAEL005783,0.984,fly
AAEL001385,AAEL015342,0.984,fly
AAEL009160,AAEL005511,0.984,fly
AAEL013453,AAEL011220,0.983,fly
AAEL003344,AAEL001039,0.983,fly
AAEL012472,AAEL013975,0.983,fly
AAEL009914,AAEL004848,0.983,fly
AAEL009160,AAEL002480,0.983,fly
AAEL005106,AAEL008373,0.983,fly
AAEL006115,AAEL014715,0.983,worm/fly
AAEL006115,AAEL009617,0.983,worm/fly
AAEL000478,AAEL013061,0.983,yeast
AAEL007120,AAEL002975,0.982,fly
AAEL004858,AAEL003252,0.982,fly
AAEL001321,AAEL012817,0.982,fly
AAEL004835,AAEL003252,0.982,fly
AAEL002829,AAEL003650,0.982,fly
AAEL012507,AAEL001103,0.982,yeast
AAEL014742,AAEL007297,0.982,yeast
AAEL013212,AAEL001103,0.982,yeast
AAEL014314,AAEL004698,0.982,yeast
AAEL009835,AAEL011173,0.981,fly
AAEL001102,AAEL008363,0.98,fly
AAEL012472,AAEL015640,0.98,fly
AAEL004473,AAEL004473,0.98,fly
AAEL010063,AAEL009320,0.98,yeast
AAEL012904,AAEL007845,0.98,yeast
AAEL007650,AAEL009320,0.98,yeast
AAEL013212,AAEL003180,0.98,yeast/worm
AAEL012507,AAEL003180,0.98,yeast/worm
AAEL002089,AAEL014749,0.979,fly
AAEL009306,AAEL010730,0.979,fly
AAEL005061,AAEL003736,0.979,yeast
AAEL007787,AAEL007738,0.978,fly
AAEL014746,AAEL002240,0.978,fly
AAEL009660,AAEL004763,0.978,fly
AAEL007787,AAEL012097,0.978,fly
AAEL007033,AAEL007033,0.978,fly
AAEL011708,AAEL014957,0.978,fly
AAEL012116,AAEL002886,0.978,fly
AAEL003173,AAEL011090,0.978,fly
AAEL005368,AAEL000755,0.978,fly
AAEL014064,AAEL002886,0.978,fly
AAEL000955,AAEL007162,0.978,yeast
AAEL008000,AAEL011012,0.977,fly
AAEL012612,AAEL008167,0.977,fly
